"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"8729932188","1","LOCAL GOV SECTOR INVESTMENT PLAN (BSP)","2006-11-23","start-actual","2009-06-30","end-planned","Austria","AUT","Uganda","UGA","510","General budget support","Completion","2006","2009","5490516.42315","1944233.20892"
"87299451531","0","DISTRICT COMMERCIAL SERVICES SUPPORT","2002-01-02","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","331","Trade policy and regulations","Completion","2002","2002","",""
"8729922727","0","ELECTRIFICATION OF INDUSTRIAL PARKS","2011-11-18","start-actual","2014-04-30","end-planned","China","CHN","Uganda","UGA","151","Government and civil society, general","Implementation","2011","2014","101576713.159","48981888.9039"
"8729931393","1","PUBLIC GOV. & ACCT. PROGRAM (LOGSIP)","2006-11-23","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","151","Government and civil society, general","Implementation","2006","2010","17678547.5627","602137.542328"
"872992175","1","RECONSTRUCTION OF TORORO-SOROTI ROAD","2010-05-04","start-actual","2014-06-30","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Implementation","2010","2014","259351997.314","31440720.572"
"87299221292","0","REHABILITATION OF AQUACULTURE IN UGANDA","1998-01-02","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","311","Agriculture","Completion","1998","2007","10973640.6224","9800111.84976"
"87299311589","0","SUPPORT TO RURAL WATER SECTOR","1996-05-28","start-actual","","end-planned","Denmark/DANIDA|Sweden","SWE|DNK","Uganda","UGA","160","Other social infrastructure and services","Completion","1996","2002","114578923.362","4608697.1878"
"87299251263","0","SUPPORT TO KITGUM/GULU FM RADIO STATIONS","2001-06-08","start-actual","","end-planned","United Kingdom","GBR","Uganda","UGA","151","Government and civil society, general","Implementation","2001","2001","1196815.13615","3397.54803027"
"8729922183","0","MULTI-COUNTRY DEMOBILIZATION PROJECT","2008-08-15","start-actual","2010-06-30","end-planned","International Development Association","DAC","Uganda","UGA","151","Government and civil society, general","Completion","2008","2011","4507335.92034","2935319.10947"
"8729922639","0","UGANDA SEED INDUSTRY RATIONALIZATION","1993-02-23","start-actual","2000-12-31","end-planned","European Union|African Development Fund","DAC","Uganda","UGA","311","Agriculture","Completion","1983","2000","33341984.9732","33815421.7957"
"87299221618","0","W.H.O SUPPORT TO COCTU","","start-actual","","end-planned","Food and Agriculture Organization","DAC","Uganda","UGA","311","Agriculture","Completion","1994","1995","432874.46842","110418.486939"
"87299311620","0","LEGUME SEEDS","1987-12-17","start-actual","1994-06-30","end-planned","Germany","DEU","Uganda","UGA","311","Agriculture","Completion","1987","1994","7159480.25483","6455660.71036"
"8729922176","0","PILOT OUTPUT AND PERFORMANCE BASED ROADS","2005-06-23","start-actual","2009-12-31","end-planned","International Development Association","DAC","Uganda","UGA","210","Transport and storage","Completion","2005","2009","46719205.5445","46069827.7097"
"87299311626","0","SOUTH WEST REGION AGRICULTURAL PROJECT","","start-actual","","end-planned","International Development Association|International Fund for Agricultural Development","DAC","Uganda","UGA","311","Agriculture","Completion","1988","1996","36558830.6283","24607640.3082"
"87299311631","0","NATIONAL CENSUS OF AGRICULTURE","","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","311","Agriculture","Completion","1988","1993","6903208.19432","6306878.46361"
"87299241333","0","VILLAGE MEAT PROCESSING","2000-11-16","start-actual","","end-planned","Food and Agriculture Organization","DAC","Uganda","UGA","311","Agriculture","Completion","2000","2003","251584.453203","270412.255763"
"8729931447","0","INTRODUCTION AND PRIV M.V.INSPECTION SERVICE","2006-06-23","start-actual","2009-12-31","end-planned","China","CHN","Uganda","UGA","151","Government and civil society, general","Completion","2006","2009","5477719.10112","5742399.3301"
"872992743","0","HOIMA-KAISO-TONYA ROAD","2008-05-15","start-actual","2011-12-31","end-planned","African Development Fund","DAC","Uganda","UGA","210","Transport and storage","Completion","2008","2011","2216007.60452","2105493.47553"
"8729922356","0","REHABILITATION AND EQUIPPING HEALTH FACILITIES","2010-06-17","start-actual","2013-12-31","end-planned","Japan","JPN","Uganda","UGA","120","Health","Implementation","2010","2013","19035584.1324",""
"8729932245","0","WATER & SANITATION DEVELOPMENT FACILITY-EAST","2010-11-23","start-actual","2013-06-30","end-planned","Germany","DEU","Uganda","UGA","510","General budget support","Implementation","2010","2013","33577564.4062","4101540.32156"
"8729931389","0","PUBLIC SECTOR MANAGEMENT","2006-01-16","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","151","Government and civil society, general","Implementation","2006","2006","33814790.4443",""
"8729924885","0","ESSENTIAL DRUGS SUPPLY PROGRAMME - PHASE IV","1996-04-08","start-actual","2003-12-31","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","120","Health","Completion","1996","2005","63998350.3484","31958903.469"
"87299251695","0","REHABILITATION OF FISHERIES STATISTICS","1988-06-30","start-actual","","end-planned","United States of America|United Nations Development Programme","USA|DAC","Uganda","UGA","311","Agriculture","Completion","1987","1999","30352081.6553","3636101.80393"
"8729927948","0","REHABILITATION OF AHRC","1997-01-01","start-actual","2001-12-31","end-planned","Germany","DEU","Uganda","UGA","311","Agriculture","Completion","1986","2002","12179384.131","13132629.4466"
"87299271302","0","POPULATION AND FAMILY WELFARE EDUCATION","1997-10-01","start-actual","","end-planned","United Nations Populations Fund","DAC","Uganda","UGA","160","Other social infrastructure and services","Completion","1989","2002","1750650.24698","1461360.38306"
"87299271229","0","SAFE MOTHERHOOD INITIATIVES","1997-11-30","start-actual","1998-04-30","end-planned","United Kingdom|United Nations Populations Fund","GBR|DAC","Uganda","UGA","120","Health","Completion","1990","1998","2569539.05076","2374561.0024"
"87299241306","0","COORDINATION, COMMUNICATION AND ADVOCACY - MFPED","2000-06-14","start-actual","","end-planned","United Nations Children's Fund","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1995","2002","153862352.39","4160011.70879"
"8729922741","0","LEATHER AND LEATHER PRODUCTS INDUSTRY","1997-03-24","start-actual","2001-12-31","end-planned","Austria","AUT","Uganda","UGA","331","Trade policy and regulations","Completion","1996","2001","1999401.45106","2064478.24113"
"8729922716","0","PRIVATE ENTERPRISE SUPPORT TRAINING AND ORGANISATIONAL DEVELOPMENT (PRESTO)","1995-09-04","start-actual","","end-planned","United States of America","USA","Uganda","UGA","151","Government and civil society, general","Completion","1995","2002","43865381.2715","39057956.8659"
"87299381404","0","STRENGTHENING DISASTER MANAGEMENT AND PREPARATION PROJECT","1997-09-01","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1997","1999","415601.096736","339067.031414"
"87299211385","0","CCF SUPPORT PROJECT","1997-09-29","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1997","2007","36968218.0636","20803430.2583"
"87299451738","0","AGRICULTURAL DEVELOPMENT PROJECT","1986-05-08","start-actual","1993-09-30","end-planned","International Development Association|International Fund for Agricultural Development","DAC","Uganda","UGA","311","Agriculture","Completion","1986","1994","60530417.4478","36296794.5434"
"87299221418","0","NATIONAL LONG TERM VISION -2025","1997-02-05","start-actual","","end-planned","United Nations Development Programme","DAC","Uganda","UGA","151","Government and civil society, general","Completion","1997","1999","2314022.72987","2297872.32064"
"87299221757","1","ENTEBBE INTERNATIONAL AIRPORT","","start-actual","","end-planned","Denmark/DANIDA","DNK","Uganda","UGA","210","Transport and storage","Completion","1994","2000","38794955.7025","39665383.6017"
"8729922650","0","AGRICULTURE RESEARCH AND TRAINING PROJECT (NARO)","1993-08-31","start-actual","2002-08-30","end-planned","International Development Association|United States of America","USA|DAC","Uganda","UGA","311","Agriculture","Completion","1989","2002","52017654.1219","34628363.9397"
"87299271106","0","WATER HYACINTH RESEARCH","1998-01-02","start-actual","","end-planned","Netherlands","NLD","Uganda","UGA","510","General budget support","Completion","1998","2001","351641.472563","260780.255016"
