"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"eAr3SzJxsgpovdkkGUaE8c","872992175","","2010","C","USD","187972561.48"
"QUYtRwkFRgm8Qmsg7MNJPm","872992175","","2012","C","USD","71379435.8342"
"N67iZmTviG9jCi59Cr7Tkg","872992175","","2011","D","USD","10181391.987"
"hRYpZaQMvm8BchtajVTe79","872992175","","2012","D","USD","21259328.585"
"eDffyZ3NGf5TsmhkPY58w3","872992181","","2007","C","USD","65065007.2526"
"Ek5NuKbyCXhoG5XWcss2yM","872992181","","2007","D","USD","965287.072777"
"kUc5dhZXsU5gwtuH3WCoM6","872992181","","2008","D","USD","2203910.67895"
"e5qqTWMRsfTc9kur2p8AsM","872992181","","2009","D","USD","13128460.9619"
"2j9Uo72ajcNBEuK9hZaJqc","872992181","","2010","D","USD","15797797.8238"
"UJDrCxuhct2tr54VPhNAS7","872992181","","2011","D","USD","13898096.762"
"biaMRLUmHzV9wNhwvmqiM9","872992181","","2012","D","USD","7498906.42541"
"tB84XAew4P9gBbSHq2H3wQ","872992181","","2013","D","USD","2088020.6175"
"CbzFXEV9ZiwiDGb42pYsan","872992184","","2013","C","USD","68962976.7032"
"oYhTNsBKWEfe2m4SfYQJNP","872992184","","2013","D","USD","14201393.974"
"2qtqQxctembALsMcZGA5Pc","872992333","","1993","C","USD","2173749.85472"
"5JoqiDJZiR8uSebjyq8NEF","872992333","","1994","D","USD","260134.847351"
"TCWC6SHdmsDtuxPo3rxvvF","872992333","","1995","D","USD","556599.415521"
"WXjZCXTBijhhovBx6C2yxj","872992333","","1996","D","USD","180486.888523"
"R2ZCY2TExQr93QWsp8KhU6","872992333","","1997","D","USD","493566.521835"
"eSsQt2fnpFxHuPnLUXcprH","872992333","","2010","D","USD","387111.025198"
"ag3knuwhdUV5CPqbb32hni","872992333","","2011","D","USD","198939.0"
"kduYGDx254TjFqXMMikHTC","872992333","","2012","D","USD","25376.7326977"
"XatmTSTmy6FhkZsJWXzQjF","872992339","","2010","C","USD","1132002.24808"
"VqbLUTpAuyHZLpEz7z2uyZ","872992339","","2011","D","USD","409276.944"
"AmRoq5WN7CXYmFw7YuATgg","872992456","","2010","C","USD","10370301.6217"
"c7AQ2VuwmzkZLPMEB9uFSE","872992456","","2011","D","USD","745161.341"
"FryKg7dMo7CUBQXFJVZEhf","872992456","","2012","D","USD","761498.835686"
"brktsbiHVhrm2vLk72ZJMV","872992456","","2013","D","USD","1948369.73659"
"ASaXnvPsgGHkYHmLHWZkH7","872992466","","2010","C","USD","29446182.2408"
"3j5iZXX6ThUCSqwhWo7cgN","872992466","","2011","D","USD","8331488.335"
"cTPGn2rPvy3jPeoZgkMP7V","872992466","","2013","D","USD","5288932.33956"
"NZKxz7iNie3VMDMNzp4PJB","872992472","","1997","C","USD","164443205.432"
"HuafG7szJjUyQ5b45hjrv8","872992472","","1997","D","USD","59550495.2262"
"wrCwPUEJpCzGT6a4CEozaJ","872992472","","2000","D","USD","49546477.853"
"c5xjuSxZuM8AYV83eCReqN","872992472","","2001","D","USD","44840467.7773"
"nPPrWbbGtGquGdndH7mwwL","872992479","","2010","C","USD","510658.792022"
"riTFGcvjLZg3fpT7UYcr8e","872992479","","2010","D","USD","102131.758404"
"b5Kb7VeVoXcrT6jnJwMfmB","872992479","","2011","D","USD","12860.0"
"fvNDAEteNq3FQZ7LTmEXRE","872992479","","2012","D","USD","262152.272316"
"eBeKauXs5TZQiAKrZwoSYd","872992488","","2009","C","USD","2391204.9225"
"uEUiYSPkRAJSEzJL4Mj7NS","872992488","","2010","D","USD","1389802.36351"
"TN9XCDJkxdiVrgZ42QcMNo","872992495","","2002","C","USD","2455798.87594"
"SCmMwawhunAtAMKXqYyJ5m","872992495","","2002","D","USD","2436334.1552"
"7skQYZ4jy2Z5kdgfJuvJwV","872992498","","2002","C","USD","195231577.021"
"b5WiCQ2mgEdgvMGbtzJQga","872992498","","2003","D","USD","201949655.376"
"8ZmGmR9PLg5icZ46Vj7QSQ","872992546","","2010","C","USD","16499476.3163"
"ivV4JKkziJxnkUGYAEEn8G","872992546","","2011","D","USD","1235204.8"
"vndNjnPANkTeR33sbhHG9Z","872992554","","2009","C","USD","159597365.058"
"8C8nZx3DCQsEATacWETtUn","872992554","","2010","D","USD","46330172.5484"
"DsHfxrWaP9dqTUfmRqi9HW","872992554","","2012","D","USD","40369135.3873"
"sCSh6KyBgtDXt6eWnZPJP","872992554","","2013","D","USD","18922408.5834"
"XBbSiQhEwspU9bJ8be38wT","872992564","","2001","C","USD","270792139.803"
"tn9bfKcbk7myXUoZZ6T46f","872992564","","2008","C","USD","14891208.5673"
"JrTSxhL6hw3JQyctj4eFp4","872992564","","2007","D","USD","2725657.01849"
"5VXVoNqDnofMAMc8MVVwTB","872992564","","2008","D","USD","1011535.75605"
"U89tcqa6tK7gqq6mXs4bsW","872992564","","2009","D","USD","1739306.66471"
"ixCnvDJRCNH4CGV67rGVU","872992564","","2010","D","USD","1155129.89898"
"fbAmy8cTF3jdZwd7mRhddF","872992564","","2011","D","USD","4934725.467"
"QhUFqBuDKa7sBFr62wxFX5","872992564","","2012","D","USD","3792342.31219"
"8yMbksGXXPa9Mkym5zagum","872992574","","2002","C","USD","438728.505671"
"hm9YeqPSqapVKbogvpBDr3","872992574","","2006","C","USD","2438706.54744"
