"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"11200912517438","11200912517438_206938","4","206938","Nord Kivu","-0.66667","28.75","ADM1","first-order administrative division","6295630|6255146|CD|11","Earth|Africa|DR Congo|Nord Kivu","1","1"
"11200912517438","11200912517438_216139","4","216139","Eastern Province","2.5","27.0","ADM1","first-order administrative division","6295630|6255146|CD|09","Earth|Africa|Congo|Eastern Province","1","1"
"11200912517438","11200912517438_205413","4","205413","South Kivu","-3.16667","28.25","ADM1","first-order administrative division","6295630|6255146|CD|12","Earth|Africa|DR Congo|South Kivu","1","1"
"11200912517439","11200912517439_216139","4","216139","Eastern Province","2.5","27.0","ADM1","first-order administrative division","6295630|6255146|CD|09","Earth|Africa|Congo|Eastern Province","1","1"
"1120098711784","1120098711784_2317396","4","2317396","Bandundu Province","-4.0","18.0","ADM1","first-order administrative division","6295630|6255146|CD|01","Earth|Africa|DR Congo|Bandundu Province","1","1"
"1120098711784","1120098711784_2317277","4","2317277","Province du Bas-Congo","-5.33333","14.33333","ADM1","first-order administrative division","6295630|6255146|CD|08","Earth|Africa|Congo|Province du Bas-Congo","1","1"
"1120098711784","1120098711784_214138","4","214138","Province du Kasaï-Oriental","-4.5","24.0","ADM1","first-order administrative division","6295630|6255146|CD|04","Earth|Africa|DR Congo|Province du Kasaï-Oriental","1","1"
"1120098711784","1120098711784_216139","4","216139","Eastern Province","2.5","27.0","ADM1","first-order administrative division","6295630|6255146|CD|09","Earth|Africa|Congo|Eastern Province","1","1"
"1120098731047","1120098731047_205703","4","205703","Katanga Province","-9.0","26.0","ADM1","first-order administrative division","6295630|6255146|CD|05","Earth|Africa|DR Congo|Katanga Province","1","1"
"11200955217639","11200955217639_206938","4","206938","Nord Kivu","-0.66667","28.75","ADM1","first-order administrative division","6295630|6255146|CD|11","Earth|Africa|DR Congo|Nord Kivu","1","1"
"11200955217639","11200955217639_205413","4","205413","South Kivu","-3.16667","28.25","ADM1","first-order administrative division","6295630|6255146|CD|12","Earth|Africa|DR Congo|South Kivu","1","1"
"1120098710663","1120098710663_2314300","4","2314300","Kinshasa City","-4.375","15.97","ADM1","first-order administrative division","6295630|6255146|CD|06","Earth|Africa|DR Congo|Kinshasa City","1","1"
"1120098710409","1120098710409_2314300","4","2314300","Kinshasa City","-4.375","15.97","ADM1","first-order administrative division","6295630|6255146|CD|06","Earth|Africa|DR Congo|Kinshasa City","1","1"
"11200955234996","11200955234996_2314300","4","2314300","Kinshasa City","-4.375","15.97","ADM1","first-order administrative division","6295630|6255146|CD|06","Earth|Africa|DR Congo|Kinshasa City","1","1"
"11200912517437","11200912517437_209610","4","209610","Province du Maniema","-3.0","26.0","ADM1","first-order administrative division","6295630|6255146|CD|10","Earth|Africa|DR Congo|Province du Maniema","1","1"
"1120098712053","1120098712053_2317396","4","2317396","Bandundu Province","-4.0","18.0","ADM1","first-order administrative division","6295630|6255146|CD|01","Earth|Africa|DR Congo|Bandundu Province","1","1"
"1120098712053","1120098712053_2317277","4","2317277","Province du Bas-Congo","-5.33333","14.33333","ADM1","first-order administrative division","6295630|6255146|CD|08","Earth|Africa|Congo|Province du Bas-Congo","1","1"
"1120098712053","1120098712053_216661","4","216661","Province de l’Équateur","1.0","20.5","ADM1","first-order administrative division","6295630|6255146|CD|02","Earth|Africa|DR Congo|Province de l’Équateur","1","1"
"1120098712053","1120098712053_214139","4","214139","Province du Kasaï-Occidental","-5.33333","21.58333","ADM1","first-order administrative division","6295630|6255146|CD|03","Earth|Africa|DR Congo|Province du Kasaï-Occidental","1","1"
