"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"dvKqZUY4gJtX3R9i2FmC5M","112009781163","","2007","C","USD","426856.086047"
"Ng4tG9sFHJbPbxpcrG5rWP","112009781163","","2008","C","USD","417594.322003"
"esZugWLV6t2NbYBpSdufdX","1120091251623","","2008","C","USD","5082223.12142"
"22t4CNMDJRnqeZ9Xv8o5QT","1120091251627","","2007","C","USD","531234.137628"
"EYg99Rh2v7peMK7899iKnH","1120091251627","","2008","C","USD","263271.296321"
"UzYAhEEFT8pZZDK6Ggo2tG","1120091251630","","2008","C","USD","7422870.61582"
"r4g9vUWLjzK3mmga2cduzk","1120091251650","","2008","C","USD","678588.685284"
"zTyMaXxEF6N3VH64tGBLcd","1120091251652","","2008","C","USD","4644973.67866"
"cxBfX8oaYP2Wmv76LvmgRW","1120091251656","","2008","C","USD","521992.902504"
"donhyqgFokJJ5zC6qQ6rrB","1120091251657","","2008","C","USD","2422258.99674"
"H6GcMGACQRvmVpMrJiQmKA","1120091251659","","2008","C","USD","1565978.70751"
"zwxTVZXtjaZdwpP5iTr4kN","1120091251661","","2008","C","USD","880030.966289"
"AUvEtEorxP2FX3ghwxStXP","1120091251685","","2008","C","USD","3750461.58527"
"2pNUv69daGhD6qHNYee7Se","112009881688","","2008","C","USD","469793.612254"
"gYDokYtcqaHoS582xf84Q","1120091251690","","2008","C","USD","9466384.09033"
"4RqJvw2xTLqE6QpLjMbKbV","1120091251697","","2008","C","USD","521992.902504"
"YGBmGetdGHJty2RivaKtv9","112009881699","","2008","C","USD","417361.513169"
"Kbri37W3AzntPrtPxrGw8J","1120091251702","","2008","C","USD","678150.211246"
"sV7u7FRjW9MkVKz2PXz8X3","1120091251745","","2008","C","USD","83650.4066121"
"SGuujjf2EevxrkJGc5hNYW","1120091251747","","2008","C","USD","1043985.80501"
"5Mzz2WZwae5H2dV83XvAs6","1120091055189","","2004","C","USD","3513705.70688"
"B2M3jt5qXCtPGwxri9Y3r9","1120091055192","","2004","C","USD","292808.808907"
"3Q3myEcYmwAfBi9w9RF86c","1120091055245","","1999","C","USD","2871732.3015"
"4RdNyG6kZsKQT6HM2wbNbY","1120091055245","","2000","C","USD","1814303.18179"
"8mtM5F9fkDbfDWnj4CUc3d","1120091055245","","2001","C","USD","1313166.10069"
"YemMnuXv8PMvzE8ZhuCXf3","1120091055245","","2002","C","USD","1350031.22777"
"md4cDKSDXg88X6vQrSdAZj","1120091055245","","2003","C","USD","1308979.01804"
"FuhyJk8zTgYqak7qajTSeU","1120091055245","","2004","C","USD","175685.285344"
"cs6n2teHidCmXd56tuhjuC","1120091055248","","1999","C","USD","522133.145727"
"ocAqrsbX9jQFFZzb6pNaLE","1120091055248","","2000","C","USD","63883.9148518"
"XMiCB58xSdgTqTzpRv2btJ","1120091055248","","2001","C","USD","452298.885301"
"pzKhMELfRtv9FSAvL9w5PY","1120091055248","","2002","C","USD","683622.370347"
"PT6qEmSZpzmVbJfTPdLNSf","1120091055248","","2003","C","USD","180631.879215"
"oJsQiF8d38qUJynm5H3uGk","1120091055274","","2001","C","USD","4997777.73813"
"6rgT4wt5dSTFosjKKr6RCe","1120091055274","","2002","C","USD","8428473.64879"
"rbqwcEePDCpRuteafy4A9o","1120091055274","","2003","C","USD","7551616.7637"
"cypHtetryxa3kgK967YbtW","1120091055274","","2004","C","USD","9838375.97928"
"YCHER8HC7dJS4sDJpW4eB5","1120091055274","","2005","C","USD","3075419.10464"
"wkQtVM8p6bT7dRBMoWTk76","1120091055278","","2002","C","USD","2459073.27463"
"AgFgVawKh3RhfJhxk6VcUY","1120091055278","","2003","C","USD","2408425.05619"
"d4PTzuQDaRfXnFBXwZb2Jo","1120091055278","","2004","C","USD","556336.736923"
"9p5WbAygu8D7VwcZGcziT3","1120091055290","","2002","C","USD","1475443.96478"
"GP6tiH8F2og8XgcgLt5AaY","1120091055290","","2005","C","USD","959013.845383"
"JrAcpe2dWKSJkXTqgV7a7X","1120091055301","","2001","C","USD","37483.333036"
"QmbukQxAhoYPuoZVUfxFQa","1120091055301","","2002","C","USD","49181.4654926"
"SXsDkPDPBHFwxVP6qPiYGg","1120091055318","","2002","C","USD","1202486.83129"
"xAbQYAmn323jw8edSApREM","1120091055318","","2004","C","USD","468494.094251"
"YEbsfojHTZ3siYQCCjzvXD","1120091055318","","2005","C","USD","1395444.49606"
"GhFWNAJsRTETDg8uaA7z69","1120091055330","","2002","C","USD","614768.318657"
"xN6N5e4Fc73X9eKMybaSPn","1120091055334","","2000","C","USD","1277678.29704"
"ZMGAhgy5yE8zWCmBht4DWd","1120091055337","","2002","C","USD","614768.318657"
"7Ubj9fwghWbjPsvyhhLfwA","1120091055337","","2003","C","USD","1625686.91293"
"8cnmvsDrDjtmPGYUtmo3Bk","1120091055337","","2005","C","USD","510113.747544"
"TTeiFAPsrJUw76mBD9sQtV","1120091055337","","2006","C","USD","1776731.11453"
"oAvexxtvKHjm2nukiNMHcn","1120091055354","","2002","C","USD","307384.159329"
"f6b59hx2SNMwrnxb2hpZcb","1120091055364","","2000","C","USD","766606.978221"
"KQ7vQ8VxugvK2VKpNTCDG7","1120091055367","","2000","C","USD","628617.722142"
"jfaDWX5pxXoyLhqbYHJATg","1120091055367","","2002","C","USD","590177.585911"
"iUdgy5spR73GRReuDgF7WZ","1120091055378","","2001","C","USD","779653.327148"
"sHcfSMGVZCApoCpGYhSGo9","1120091055378","","2003","C","USD","4491712.7298"
"zBzaUUCw7HD56J7dca5BcU","1120091055378","","2004","C","USD","2985478.61562"
"G5682hBWBGcKQNBeoX2FnF","1120091055378","","2005","C","USD","3754437.18192"
"Rfj4qt3gfxHiYStcMRx59W","1120091055380","","2001","C","USD","1249444.43453"
"pyksMP3q7StqSrGmavw8kD","1120091055423","","2001","C","USD","3123611.08633"
"YpmuQadJVxGtcwC27GtG57","1120091055500","","2005","C","USD","8048461.35014"
"ni8dyRm7pFeRbGtpBahsG7","1120091055500","","2006","C","USD","8576186.65296"
"uKHgWP2h6gX6tAa5Ueczkc","1120091055505","","2003","C","USD","1223479.92855"
"23g7bwopt8dzck6PfczS9G","1120091055505","","2004","C","USD","1317639.64008"
"riohcfdMXMnUMgX4hCpRJe","112009787700","","2008","C","USD","5219929.02504"
"mZgFkaX3wLnxh2X7h45wZM","112009897804","","2008","C","USD","9466384.09033"
"NyfxKYfAdqv9iWQSCvDfU5","112009897812","","2009","C","USD","617856.35"
"cHTW7iyths9FhkbrUMiMkR","112009897814","","2009","C","USD","620956.06937"
"LUjwjTzfztxbnfQkvXWRaj","112009897817","","2008","C","USD","1043985.80501"
"aAHjaBj8EQnTsbBSDytEUi","112009897817","","2009","C","USD","6758872.36453"
"8jvesxcXZ2K3EJxLhMnXNd","112009897820","","2008","C","USD","4145667.63169"
"yv8cszVMGSMJwhqS8Wsnxb","112009897820","","2009","C","USD","4172217.09627"
"v9bUKJ8dEfWbGJ2K7P2Aed","112009897821","","2009","C","USD","5462141.24888"
"vHyy76Ssg8YmLUZRwy6aGR","112009899210","","2009","C","USD","369068.423071"
"XVXTEWZ632cyVGMvZdL7aR","112009899210","","2010","C","USD","388100.681937"
"cr8m4vGkQicxEvbwbcMV5R","112009899212","","2009","C","USD","682776.582681"
"ThyMNQwCb35juKMzp52CBY","112009899212","","2010","C","USD","717986.261583"
"LoEHVmfomBn5WvxweMkmui","1120098710837","","1999","C","USD","1475026.13668"
"sqqqZrJ73nB23A5BUwAKXX","1120098710837","","2000","C","USD","102214.263763"
"6UMSmNQPyrVzYbSWTLwYqd","1120098710837","","2001","C","USD","1255691.6567"
"WdhSbn88a2ioCah6rvDDQB","1120098710837","","2002","C","USD","1038958.45853"
"ujvLDkobSyRq9P2nANBfvf","1120098710916","","2008","C","USD","546601.7359"
"vaxiMWTFBBpryomTzj4ei5","1120091055437","","2001","C","USD","17797086.5255"
"BmxLdwpFdxhek4dVx8EKHY","1120091055437","","2002","C","USD","20338995.0545"
"deeFtWnUapmeafNRrAzzrS","1120091055437","","2003","C","USD","44251197.77"
"TivecGntP4agwJznodLmbd","1120091055437","","2004","C","USD","36414874.7109"
"N98SQHSQJDLvNyJWRqzQwQ","1120091055437","","2005","C","USD","32420562.6217"
