participating_org	donors	donors_iso3	donor_country
Agence Américaine pour le Développement International (268)	USAID	USA	United States
Agence Canadienne de Développement International (29)	Canadian International Development Agency	CAN	Canada
Agence Coréenne de Coopération Internationale (8)	Korea International Cooperation Agency	KOR	South Korea
Agence de Coopération Internationale Japonaise (55)	Japanese International Co-operation Agency	JPN	Japan
Agence Française de Développement (18)	French Agency for Development	FRA	France
Agence Suèdoise Internationale de Développement (ASDI) (69)	Swedish International Development Cooperation Agency	SWE	Sweden
Agence Turque de développement (1)	The Turkish Cooperation and Coordination Agency 	TUR	Turkey
Ambassade d'Afrique du Sud (12)	Embassy of South Africa	ZAF	South Africa
Ambassade d'Allemagne (40)	Embassy of Germany	DEU	Germany
Ambassade d'Autriche (1)	Embassy of Austria	AUT	Austria
Ambassade d'Espagne (143)	Embassy of Spain	ESP	Spain
Ambassade d'Italie (62)	Embassy of Italy	ITA	Italy
Ambassade de Belgique (1219)	Embassy of Belgium	BEL	Belgium
Ambassade de Chine (64)	Embassy of China	CHN	China
Ambassade de France (72)	Embassy of France	FRA	France
Ambassade de l'Inde (1)	Embassy of India	IND	India
Ambassade de la République de Corée (2)	Embassy of South Korea	KOR	South Korea
Ambassade de Norvège (4)	Embassy of Norway	NOR	Norway
Ambassade de Royaume Uni (132)	Embassy of The United Kingdom	GBR	United Kingdom
Ambassade de Russie (1)	Embassy of Russia	RUS	Russia
Ambassade de Suède (116)	Embassy of Sweden	SWE	Sweden
Ambassade de Suisse (67)	Embassy of Switzerland	CHE	Switzerland
Ambassade de Turquie (3)	Embassy of Turkey	TUR	Turkey
Ambassade des Etats-Unis d'Amérique (13)	Embassy of The United States	USA	United States
Ambassade des Pays-Bas (110)	Embassy of Netherlands	NLD	Netherlands
Ambassade du Brésil (1)	Embassy of Brazil	BRA	Brazil
Ambassade du Canada (343)	Embassy of Canada	CAN	Canada
Ambassade du Japon (151)	Embassy of Japan	JPN	Japan
Association internationale de développement (Banque mondiale) (228)	World Bank	DAC	
Banque Africaine de Développement (19)	African Development Bank	DAC	
Banque Européenne d'Investissement (2)	European Investment Bank	DAC	
Banque internationale pour la reconstruction et le développement (2)	World Bank	DAC	
Bureau de coordination des affaires humanitaires des Nations Unies (110)	UNOCHA	DAC	
Bureau des Nations Unies pour les services d'Appui aux Projets (1)	UNOPS	DAC	
Central Emergency Reponse Fund (CERF) (3)	UNCERF	DAC	
Commission Européenne (197)	European Commission	DAC	
Coopération Technique Suisse (1)	Swiss Technical Cooperation Trust Fund	DAC	
Department for International Development (189)	Department for International Development	GBR	United Kingdom
Deutsche Gesellschaft Technische Zusammenarbeit (19)	Deutsche Gesellschaft Technische Zusammenarbeit	DEU	Germany
Eximbank of India (8)	Export-Import Bank of India	IND	India
Facilité des Etats Fragiles (3)	Fragile States Facility	DAC	
Finlande (1)	Finland	FIN	Finland
Fondantion pour le Développement des Capacités en Afrique (16)	The African Capacity Building FoundationDAC	DAC	
Fonds Africain de Développement (58)	African Development Fund	DAC	
Fonds de Développement des Nations Unies pour la femme (5)	UN Women	DAC	
Fonds des Nations Unies pour la population (24)	UNFPA	DAC	
Fonds Forestiers pour le Bassin du Congo (13)	The Congo Basin Forest Fund	DAC	
Fonds International pour le Développement Agricole (7)	International Fund for Agricultural Development	DAC	
Fonds Mondial (20)	The Global Fund	DAC	
Fonds monétaire international (3)	International Monetary Fund	DAC	
Global Environment Fund Truste (4)	Global Environmental Facility	DAC	
Haut Commissariat des Nations Unies pour les droits humains (52)	OHCHR	DAC	
Haut Commissariat des Nations Unies pour les Refugiés (39)	UNHCR	DAC	
Investissemement privé camerounais (2)	Cameroon Private Investment	CMR	Cameroon
Investissemement privé libanais (7)	Lebanon Private Investment	LBN	Lebanon
Investissemement privé tanzanien (1)	Tanzania Private Investment	TZA	Tanzania
Investissement privé allemand (1)	Germany Private Investment	DEU	Germany
Investissement privé américain (3)	United States Private Investment	USA	United States
Investissement privé bahaméen (1)	Bahamas Private Investment	BHS	Bahamas
Investissement privé belge (12)	Belgian Private Investment	BEL	Belgium
Investissement privé britanique (15)	United Kingdom Private Investment	GBR	United Kingdom
Investissement privé canadien (2)	Canada Private Investment	CAN	Canada
Investissement privé centrafricain (1)	Central African Republic Private Investment	CAF	Central African Republic
Investissement privé chinois (5)	China Private Investment	CHN	China
Investissement privé congolais (79)	Democratic Republic of the Congo Private Investment	COD	Congo, the Democratic Republic of the
Investissement privé émiratie (1)	United Arab Emirates Private Investment	ARE	United Arab Emirates
Investissement privé français (9)	French Private Investment	FRA	French
Investissement privé gambien (1)	Gambia Private Investment	GMB	Gambia
Investissement privé ghanéen (1)	Ghana Private Investment	GHA	Ghana
Investissement privé gilbratar (1)	Gibraltar Private Investment	GIB	Gibraltar
Investissement privé guernesey (1)	Guernsey Private Investment	GGY	Guernsey
Investissement privé hellenique (2)	Greece Private Investment	GRC	Greece
Investissement privé indien (14)	India Private Investment	IND	India
Investissement privé israëlien (1)	Israel Private Investment	ISR	Israel
Investissement privé italien (2)	Italy Private Investment	ITA	Italy
Investissement privé luxembourgois (1)	Luxembourg Private Investment	LUX	Luxembourg
Investissement privé mauricien (1)	Mauritius Private Investment	MUS	Mauritius
Investissement privé néerlandais (1)	Netherlands Private Investment	NLD	Netherlands
Investissement privé nigérian (2)	Nigeria Private Investment	NGA	Nigeria
Investissement privé pakistanais (1)	Pakistan Private Investment	PAK	Pakistan
Investissement privé portugais (1)	Portugal Private Investment	PRT	Portugal
Investissement privé sénégalais (2)	Senegal Private Investment	SEN	Senegal
Investissement privé sud africain (5)	South African Private Investment	ZAF	South Africa
Investissement privé sud coréen (4)	South Korean Private Investment	KOR	South Korea
Investissement privé swazilandais (1)	Swaziland Private Investment	SWZ	Swaziland
Investissement privé togolais (1)	Togo Private Investment	TGO	Togo
Investissement privé turque (1)	Turkey Private Investment	TUR	Turkey
Investissement privé ukrainien (1)	Ukraine Private Investment	UKR	Ukraine
Investissement privé zambien (1)	Zambia Private Investment	ZMB	Zambia
Investissemnt privé béninois (2)	Benin Private Investment	BEN	Benin
Investssement privé autrichien (2)	Austria Private Investment	AUT	Austria
Kredistanst FW (20)	KfW Bankengruppe	DEU	Germany
Lignes budgétaires Commission Européenne (193)	European Commission	DAC	
Ministère de Coopération Economique et du Développement (1)	Federal Ministry for Economic Cooperation and Development	DEU	Germany
Ministère des Affaires Entragères Thailandaise (1)	Thailand Ministry of Foreign Affairs	THAI	Thailand
Ministère des Affaires Etrangères Allemande (1)	German Ministry of Foreign Affairs	DEU	Germany
Ministère des Affaires Etrangères d'Australie (4)	Australian Ministry of Foreign Affairs	AUS	Australia
Ministère des Affaires Etrangères d'Irlande (8)	Ireland Ministry of Foreign Affairs	IRL	Ireland
Ministère des Affaires Etrangères de Danmark (13)	Denmark Ministry of Foreign Affairs	DNK	Denmark
Ministère des Affaires Etrangères de Finlande (10)	Finland Ministry of Foreign Affairs	FIN	Finland
Ministère des Affaires Etrangères de la Grèce (4)	Greece Ministry of Foreign Affairs	GRC	Greece
