gpw_v4_count.2000.mean,gpw_v4_count.2005.mean,gpw_v4_count.2010.mean,gpw_v4_density.2000.mean,gpw_v4_density.2005.mean,gpw_v4_density.2010.mean,v4composites_calibrated_201709.1998.mean,v4composites_calibrated_201709.1999.mean,v4composites_calibrated_201709.2000.mean,v4composites_calibrated_201709.2001.mean,v4composites_calibrated_201709.2002.mean,v4composites_calibrated_201709.2003.mean,v4composites_calibrated_201709.2004.mean,v4composites_calibrated_201709.2005.mean,v4composites_calibrated_201709.2006.mean,v4composites_calibrated_201709.2007.mean,v4composites_calibrated_201709.2008.mean,v4composites_calibrated_201709.2009.mean,v4composites_calibrated_201709.2010.mean,v4composites_calibrated_201709.1998.max,v4composites_calibrated_201709.1999.max,v4composites_calibrated_201709.2000.max,v4composites_calibrated_201709.2001.max,v4composites_calibrated_201709.2002.max,v4composites_calibrated_201709.2003.max,v4composites_calibrated_201709.2004.max,v4composites_calibrated_201709.2005.max,v4composites_calibrated_201709.2006.max,v4composites_calibrated_201709.2007.max,v4composites_calibrated_201709.2008.max,v4composites_calibrated_201709.2009.max,v4composites_calibrated_201709.2010.max,v4composites_calibrated_201709.1998.min,v4composites_calibrated_201709.1999.min,v4composites_calibrated_201709.2000.min,v4composites_calibrated_201709.2001.min,v4composites_calibrated_201709.2002.min,v4composites_calibrated_201709.2003.min,v4composites_calibrated_201709.2004.min,v4composites_calibrated_201709.2005.min,v4composites_calibrated_201709.2006.min,v4composites_calibrated_201709.2007.min,v4composites_calibrated_201709.2008.min,v4composites_calibrated_201709.2009.min,v4composites_calibrated_201709.2010.min,accessibility_map.na.mean,gdp_grid.na.mean,diamond_distance_201708.na.sum,onshore_petroleum_v12.na.sum,GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1
244.082634255,277.198256003,317.666940939,284.10179638,322.646063479,369.748772417,0.0992806194603,0.0,0.0743401813681,0.0564678235198,0.0,0.0,0.0,0.0463652435136,0.530425948364,0.0815533072938,0.062460495201,0.0206754791986,0.0895413997626,9.0,0.0,7.0,6.0,0.0,0.0,0.0,8.0,23.0,10.0,9.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.810028354,0.18992684925,317161083.581,NA,BDI,Burundi,BDI.1_1,Bubanza,,,Province,Province,003BDI001,BI.BB
2128.37137484,2833.52862718,3794.80469753,2593.10602442,3452.39131349,4623.80387249,14.6328580653,15.0923097559,14.6253488093,12.7885317083,12.1215354609,13.7239730076,13.1865849711,13.6242529791,15.7976606887,15.0921618746,14.1792107694,15.9515506067,13.6706087426,63.0,63.0,61.0,56.0,48.0,62.0,59.0,58.0,56.0,51.0,48.0,57.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3421636897,4.15002779587,61199364.4488,0.0,BDI,Burundi,BDI.2_1,Bujumbura Mairie,,,Province,Province,003BDI017,BI.BM
338.065649122,404.808148142,487.816116436,405.294256884,485.891150099,586.301318834,0.390510948303,0.254464710355,0.524083873018,0.413458006383,0.638563545442,0.367185376512,0.357056782225,0.249478015857,0.573942947262,0.499284621368,0.526085499872,0.514253555835,0.718376489996,48.0,29.0,41.0,39.0,38.0,38.0,40.0,26.0,25.0,33.0,36.0,44.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8422320666,0.200096751277,462984456.16,NA,BDI,Burundi,BDI.3_1,Bujumbura Rural,Usumbura,,Province,Province,003BDI002,BI.BU
161.940228618,195.696028717,239.492588214,192.682330988,233.568501858,286.800498817,0.0162140969029,0.0184128293104,0.0327031933257,0.0327033065356,0.020885718136,0.0307793825589,0.0318785605702,0.0145654465972,0.0258329249112,0.026932027876,0.0263822948905,0.0164888636631,0.0541383322008,6.0,7.0,8.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.727777918,0.0275420434316,871219800.837,NA,BDI,Burundi,BDI.4_1,Bururi,,,Province,Province,003BDI003,BI.BR
82.1946451294,100.054357612,122.863138085,95.6615158511,116.447277753,142.992947763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171975087131,0.0,0.0646401402938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.581723488,0.0153215526406,368511915.929,NA,BDI,Burundi,BDI.5_1,Cankuzo,,,Province,Province,003BDI004,BI.CA
217.681898292,250.152627133,290.021296159,253.434702337,291.248281116,337.678812141,0.015936881929,0.0129949089878,0.0,0.0315695336428,0.0,0.0,0.0,0.0401693077167,0.16460786644,0.0,0.0,0.0,0.0950493940416,6.0,6.0,0.0,5.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.575907547,0.0799708594544,502643668.543,0.0,BDI,Burundi,BDI.6_1,Cibitoke,,,Province,Province,003BDI005,BI.CI
290.906567252,328.179700305,373.420342636,338.665493769,382.057406392,434.724746339,0.204401122211,0.223714621304,0.198293120637,0.186525516049,0.205007924606,0.171065032849,0.164612352062,0.11523040719,0.201541232736,0.210327511291,0.17306513578,0.205097970307,0.260728275144,9.0,10.0,10.0,9.0,9.0,10.0,11.0,11.0,14.0,12.0,11.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4145626108,0.101915069539,475179113.635,NA,BDI,Burundi,BDI.7_1,Gitega,Kitega,,Province,Province,003BDI006,BI.GI
240.100270636,268.230654943,303.495637188,279.419707077,312.158175121,353.200041988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395604295591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.745325036,0.0404275348442,335234566.527,NA,BDI,Burundi,BDI.8_1,Karuzi,Karusi,,Province,Province,003BDI007,BI.KR
346.572448796,411.723944071,499.354845501,403.466305219,479.307974464,581.315929334,0.0463544370806,0.0260769550826,0.0408124692691,0.0592140932829,0.0365162820605,0.0,0.0214802481709,0.0,0.0,0.0293565399119,0.0300722388997,0.0386642454462,0.078760792467,6.0,6.0,6.0,5.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.481094197,0.0638372536726,331215798.844,NA,BDI,Burundi,BDI.9_1,Kayanza,,,Province,Province,003BDI008,BI.KY
262.329138776,309.005626566,367.815993239,320.814051648,378.600882094,451.474612325,0.0,0.0,0.0,0.0,0.0,0.0,0.0118923078749,0.0,0.0,0.0,0.0,0.0,0.0517867121479,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.586914906,0.0425876176525,446397440.293,NA,BDI,Burundi,BDI.10_1,Kirundo,,,Province,Province,003BDI009,BI.KI
