Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details
7,1997,5,,DR Congo,,,,0,0,10,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,10,U,C,U,-2.9814344,23.8222636,10 NRCS staff first aid workers killed in fighting between Zairean troops and rebels from the Alliance of Democratic Forces for the Liberation of Congo-Zaire (ADFL).
22,1997,9,24,Ethiopia,Ogaden,,,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,1,S,IA,U,8.53056,44.795,2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.
62,1998,,,Burundi,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,R,OC,-3.3634357,29.8870575,1 INGO national staff killed in armed robbery on a team house. Month unknown.
38,1998,1,,DR Congo,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,U,-2.9814344,23.8222636,1 ICRC national staff driver killed in ambush.
40,1998,3,6,Uganda,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,U,U,1.5333554,32.2166578,1 UN national staff killed March 6.
44,1998,4,,Sudan,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,AB,U,PS,14.5844444,29.4917691,1 INGO national staff killed in hospital bombing.
45,1998,4,,Burundi,Bubanza ,,Bujumbura,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,U,Am,U,-3.3239046,29.3206183,"1 INGO international staff ambushed and killed by bandits in Bujumbura, April 22."
48,1998,6,,Burundi,Bubanza ,,Bujumbura,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,U,Am,U,-3.3239046,29.3206183,1 INGO international (Danish) staff killed by car thieves in Bujumbura.
46,1998,6,9,Sudan,South Kordofan,,,2,0,4,0,0,0,3,3,0,6,0,0,0,0,3,3,0,6,0,0,3,S,Am,R,11,31,2 UN national staff killed along with 1 national RC worker were killed when gunmen fired on UN vehicle in South Kordofan June 9 (3 other RC workers wounded).
47,1998,6,25,Ethiopia,Somali,,travelling from Gode to Degeh Bur,0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,K,Am,R,7,44,"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation for"
49,1998,7,8,Uganda,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,R,1.5333554,32.2166578,1 UN national staff killed in ambush by guerrillas from the Uganda National Rescue Front II on July 8. Vehicle also robbed and blown up.
53,1998,7,11,Burundi,Bubanza ,,"Bubanza, RN 9 in Gihanga commune",0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,1,0,U,Am,PS,-3.11667,29.4,2 INGO national staff killed in ambush on RN 9 in Bubanza's Gihanga commune July 11.
52,1998,7,24,Burundi,Bubanza ,,Bujumbura,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,U,IA,U,-3.3239046,29.3206183,1 UN international staffer killed in Bujumbura on July 24.
68,1999,2,18,Sudan,Unity,Rubkona ,Bentiu,0,0,4,2,0,0,4,0,0,4,0,0,2,2,4,0,2,6,0,0,6,KK,U,U,9.26,29.8,"2 ICRC international (Swiss) staff and 4 national RC workers kidnapped. Swiss released in March, Sudanese killed April."
73,1999,4,,Ethiopia,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,K,U,U,9.145,40.489673,1 INGO international (French) staff kidnapped and later released
74,1999,5,,Sudan,,,,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,0,0,3,U,R,R,14.5844444,29.4917691,1 UN national staff killed and 2 wounded when relief barge on Nile in Sudan was attacked.
76,1999,6,,Burundi,Baki,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,S,U,U,-3.3634357,29.8870575,1 UN national staff injured when vehicle shot at by suspected Hutu rebels.
80,1999,7,24,Burundi,Bubanza ,,Bujumbura,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,U,U,U,-3.3239046,29.3206183,1 UN international (Italian) staff killed in Bujumbura July 24.
87,1999,10,,Burundi,,,,3,0,0,0,0,0,0,1,0,1,2,0,0,2,2,1,0,3,0,0,3,U,Am,U,-3.3634357,29.8870575,"1 UN national staff wounded, 2 internationals killed (1 Chilean, 1 Dutch) and others escaped unharmed during ambush of joint UN assessment team."
101,2000,1,,Sudan,,,,0,8,0,0,0,0,7,0,0,7,1,0,0,1,8,0,0,8,0,0,8,U,Am,R,14.5844444,29.4917691,"8 INGO staff (7 national, 1 international) killed killed in attack on vehicle."
97,2000,1,8,Sudan,Al Wahdah,,,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,U,Am,U,8.927721,29.788925,2 INGO national staff killed in ambush in Al Wahdah State on Jan 8.
103,2000,2,,Ethiopia,,,,0,2,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,2,0,0,2,U,Am,U,9.145,40.489673,1 INGO national staff killed and 1 international staff wounded when vehicle ambushed.
107,2000,3,,Sudan,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,U,14.5844444,29.4917691,1 INGO national staff killed in ambush.
109,2000,4,,DR Congo,Orientale,Ituri,Bunia,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,2,K,Am,R,1.566667,30.25,"2 INGO national staff hijacked in Bunia, Ituri by militia and forced to transport weapons. Led to organization's withdrawal from province."
108,2000,4,4,DR Congo,South Kivu,,Uvira,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,Am,U,-3.4055866,29.1375509,"1 INGO national staff shot and killed in Uvira, April 4."
119,2000,7,9,DR Congo,,,,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,2,1,0,1,U,Am,U,-2.9814344,23.8222636,1 INGO national and 1 international (Kenyan) wounded along with 3 other health workers (not counted here) in July 9 ambush that killed local health center director (also not counted here).
123,2000,8,,DR Congo,Orientale,Tshopo ,Kisangani,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,U,IA,U,0.5184021,25.2057292,1 UN international staff found dead in Kisangani; undetermined motivation.
129,2000,11,,Sudan,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,U,U,U,14.5844444,29.4917691,1 UN national staff killed.
131,2000,12,,Sudan,,,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,AB,U,U,14.5844444,29.4917691,1 ICRC national staff killed in aerial bombing.
133,2000,12,,Burundi,,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,U,Am,R,-3.3634357,29.8870575,1 INGO international (British) staff killed in bus attack.
132,2000,12,20,Sudan,,,,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,U,Am,R,14.5844444,29.4917691,"2 national staff, one from an INGO and one from a national NGO, killed in ambush on Dec 20."
142,2001,2,26,DR Congo,Bunia ,(near area of Bunia),,0,0,0,6,0,0,4,0,0,4,2,0,0,2,6,0,0,6,0,0,6,U,Am,R,1.5625,30.2484167,"2 ICRC international (Swiss, Colombian) and 4 national staff ambushed and killed near Bunia, Feb 26."
140,2001,3,8,Sudan,,,,0,4,0,0,0,0,0,0,2,2,0,0,2,2,0,0,4,4,0,0,4,K,R,PS,14.5844444,29.4917691,"2 INGO international (Kenyan) and 2 national staff kidnapped when armed rebels attacked village, March 8."
138,2001,3,27,DR Congo,Bas-Congo,,Kimpese,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,Am,R,-5.78156,12.63389,"1 UN national staff shot and killed by gunmen in ambush and stole victim's vehicle in Kimpese, March 27."
