,0
Embassy of Canada,0.4099555555555555
Deutsche Gesellschaft Technische Zusammenarbeit,0.7639710716633794
Embassy of Sweden,0.8965100833232701
European Commission,0.9136035385163849
Global Environmental Facility,0.8645833333333333
Embassy of Germany,0.8163265306122449
Ministry of Finance,0.6814404432132966
Embassy of Netherlands,0.6834319526627218
Poland Ministry of Foreign Affairs,0.6666666666666667
KfW Bankengruppe,0.8653254437869822
World Bank,0.9280196375712945
African Development Fund,0.7117346938775511
Department for International Development,0.917231353325644
UNDP,0.8125
USAID,0.8934178084329453
Embassy of Japan,0.591715976331361
Korea International Cooperation Agency,0.0
Embassy of Belgium,0.9202358708049212
European Investment Bank,0.2777777777777777
