,0
Embassy of Canada,0.6844444444444444
Deutsche Gesellschaft Technische Zusammenarbeit,0.49967126890203817
Embassy of Sweden,0.6301171356116411
European Commission,0.7215279727670529
Global Environmental Facility,0.0
Embassy of Germany,0.33673469387755106
Ministry of Finance,0.46537396121883656
Embassy of Netherlands,0.7662721893491125
Poland Ministry of Foreign Affairs,0.0
KfW Bankengruppe,0.0
World Bank,0.8050112285261561
African Development Fund,0.6428571428571429
Department for International Development,0.7063028642829681
UNDP,0.736328125
USAID,0.5520426952966512
Embassy of Japan,0.7218934911242603
Korea International Cooperation Agency,0.42603550295857995
Embassy of Belgium,0.855638331432454
European Investment Bank,0.0
